author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,6.09,86.82,719.5277961310813,particle/m3,1.4828217689006569e-05,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,10.452546322859071,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,8.93,86.87,11512.444738097302,particle/m3,0.0002372514830241051,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,167.24074116574513,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.82,86.95,10792.91694196622,particle/m3,0.0002224232653350985,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,156.78819484288604,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,13.88,87.06,10073.389145835139,particle/m3,0.00020759504764609194,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,146.33564852002698,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.060826248650609e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,4.16,79.66,10073.389145835139,particle/m3,0.00020759504764609194,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,146.33564852002698,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.060826248650609e-05
Wang,2021.0,https://doi.org/10.1016/j.jhazmat.2021.125477,concentration,20.56,113.11,1474.4819207460243,particle/m3,3.0386510454341753e-05,µg/m3,0.136,100.0,µm,Fibers + Films + Fragments,ocean,size range from section 3.2; count is mean of all samples,3.6,21.41972924699675,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Yuan,2023.0,https://doi.org/10.1016/j.scitotenv.2023.161839,concentration,23.13,113.26,23402.02598661105,particle/m3,0.0004822750942481173,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.2,3.6,339.96012661231686,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Allen,2019.0,https://doi.org/10.1038/s41561-019-0335-5,deposition,42.804,1.419,1973417.9308451363,particle/m2/d,0.0002578714764330847,t/km2/yr,0.136,100.0,µm,Fibers + Films + Fragments,land,size range estimated from figure 2,3.0,73000.81112012354,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.00035776183731586975
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,36.0586,-112.184,96885.80619022214,particle/m2/d,1.2660311582849854e-05,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,3584.0063715668825,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.00035776183731586964
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,42.929,-109.7875,58823.52518692058,particle/m2/d,7.686617746730269e-06,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,2176.0038684513215,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
