author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.82,86.95,0.0015,particle/m3,0.00015,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,13.88,87.06,0.0014,particle/m3,0.00014,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,4.16,79.66,0.0014,particle/m3,0.00014,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2021.0,https://doi.org/10.1016/j.jhazmat.2021.125477,concentration,20.56,113.11,0.0039,particle/m3,0.00039,ug/m3,19.0,949.0,µm,Fibers + Films + Fragments,ocean,size range from section 3.2; count is mean of all samples
Yuan,2023.0,https://doi.org/10.1016/j.scitotenv.2023.161839,concentration,23.13,113.26,0.166,particle/m3,0.009462,ug/m3,13.0,334.0,µm,Fibers,land,size range from section 3.2
Allen,2019.0,https://doi.org/10.1038/s41561-019-0335-5,deposition,42.804,1.419,365.0,particle/m2/d,0.007593825,t/km2/yr,10.0,3000.0,µm,Fibers + Films + Fragments,land,size range estimated from figure 2
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,36.0586,-112.184,112.0,particle/m2/d,0.00233016,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,42.929,-109.7875,68.0,particle/m2/d,0.00141474,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,43.4605,-113.5551,139.0,particle/m2/d,0.002891895,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.2878,-105.6628,435.0,particle/m2/d,0.009050175,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,34.0695,-116.3889,54.0,particle/m2/d,0.00112347,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
