author,year,doi,measure,lat,lon,particle/m3,ug/m3,particle/m2/d,t/km2/yr,size_min_um,size_max_um,shape,area,notes
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-24.405,-38.445,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-27.435,-40.365,0.13,0.01316,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-30.68,-42.715,0.0,1e-05,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-33.985,-45.375,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-36.8,-47.83,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-39.92,-50.63,0.03,0.00321,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-43.44,-54.31,0.01,0.00103,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-46.955,-58.82,0.08,0.00785,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Unknown-d1,,,deposition,40.0,121.5,,,10.80730574,0.000410526,,,,ocean,Bohai Sea
Unknown-d2,,,deposition,38.5,119.0,,,145.5298067,0.005083333,,,,ocean,Bohai Sea
Unknown-d3,,,deposition,37.0,120.0,,,73.92197125,0.001550144,,,,land,"Eastern Shandong, China"
Unknown-d4,,,deposition,38.84,117.4,,,243.6687201,0.005109733,,,,land,"Tianjin, China"
Unknown-d5,,,deposition,38.87,121.43,,,201.779603,0.004231318,,,,land,"West of Dalian, China"
Unknown-d6,,,deposition,37.0,121.0,,,399.7262149,0.008382259,,,,land,"Eastern Shandong, China"
Unknown-d7,,,deposition,23.0,114.0,,,244.0,0.00511668,,,,land,"East of Dongguan, China"
