author,year,doi,shape,measure,height,grid_lat,grid_lon,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc
Kyriakoudes,2023,https://doi.org/10.1016/j.chemosphere.2023.140258,fragment,concentration,,50.0,-5.0,50.37510000000001,-4.1384,2021-11-05,2021-12-17,42 days,0.01859942857142857,particle/m3,12,1
Kyriakoudes,2023,https://doi.org/10.1016/j.chemosphere.2023.140258,sphere,concentration,,50.0,-5.0,50.37510000000001,-4.1384,2021-11-05,2021-12-17,42 days,0.008531142857142857,particle/m3,12,1
Li,2019,https://doi.org/10.1016/j.scitotenv.2019.135967,fiber,concentration,,34.0,117.5,34.213279,117.1444,2018-10-02,2018-10-14,1 days,5716.666666666667,particle/m3,4,1
Li,2021,https://doi.org/10.1016/j.scitotenv.2021.150767,fiber,concentration,,18.0,110.0,18.24,109.43,2020-07-31,2020-08-02,2 days,0.00861,particle/m3,1,1
Li,2021,https://doi.org/10.1016/j.scitotenv.2021.150767,fiber,concentration,,18.0,112.5,17.3125,113.15625,2020-07-25,2020-08-14,16 days,0.004612499999999999,particle/m3,2,2
Li,2021,https://doi.org/10.1016/j.scitotenv.2021.150767,fragment,concentration,,18.0,110.0,18.24,109.43,2020-07-31,2020-08-02,2 days,0.00189,particle/m3,1,1
Li,2021,https://doi.org/10.1016/j.scitotenv.2021.150767,fragment,concentration,,18.0,112.5,17.3125,113.15625,2020-07-25,2020-08-14,16 days,0.0010125,particle/m3,2,2
Liu,2019,https://doi.org/10.1016/j.envint.2019.105127,fiber,concentration,,32.0,122.5,31.0,121.4,2019-05-01,2019-06-30,60 days,0.025800000000000003,particle/m3,1,1
Liu,2019,https://doi.org/10.1016/j.envint.2019.105127,fragment,concentration,,32.0,122.5,31.0,121.4,2019-05-01,2019-06-30,60 days,0.028799999999999996,particle/m3,1,1
Liu,2019,https://doi.org/10.1016/j.envint.2019.105127,sphere,concentration,,32.0,122.5,31.0,121.4,2019-05-01,2019-06-30,60 days,0.005399999999999999,particle/m3,1,1
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fiber,concentration,,12.0,142.5,12.5,142.0,2018-12-08,2018-12-22,14 days,0.01124706444757122,particle/m3,2,1
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fiber,concentration,,22.0,130.0,21.0,130.0,2018-12-01,2018-12-29,14 days,0.006744160803870628,particle/m3,2,1
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fiber,concentration,,28.0,122.5,28.0,122.5,2018-11-24,2019-01-03,12 days,0.2718596397139945,particle/m3,2,1
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fragment,concentration,,12.0,142.5,12.5,142.0,2018-12-08,2018-12-22,14 days,0.0005437577145845013,particle/m3,2,1
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fragment,concentration,,22.0,130.0,21.0,130.0,2018-12-01,2018-12-29,14 days,0.0003260574777176623,particle/m3,2,1
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fragment,concentration,,28.0,122.5,28.0,122.5,2018-11-24,2019-01-03,12 days,0.013143498649602762,particle/m3,2,1
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,28.0,122.5,28.66,122.03,2018-10-12,2018-10-20,8 days,0.022,particle/m3,1,1
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,30.0,122.5,30.29,122.06,2018-10-12,2018-10-20,16 days,0.23600000000000002,particle/m3,2,2
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,32.0,120.0,31.85,120.88,2019-07-10,2019-07-11,1 days,0.32,particle/m3,1,1
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,34.0,120.0,34.77,119.35,2019-09-04,2019-09-05,1 days,0.078,particle/m3,1,1
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,36.0,120.0,35.87,120.41,2019-09-01,2019-09-02,1 days,0.042,particle/m3,1,1
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,38.0,117.5,38.89,117.88,2019-08-27,2019-08-28,1 days,0.05600000000000001,particle/m3,1,1
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,38.0,120.0,38.22,118.95,2019-08-31,2019-09-01,1 days,0.031,particle/m3,1,1
Liu,2020,https://doi.org/10.1016/j.jhazmat.2020.123223,fiber,concentration,,40.0,122.5,40.85,121.81,2019-08-24,2019-08-25,1 days,0.048,particle/m3,1,1
Liu,2025,https://doi.org/10.1016/j.jes.2023.09.027,fragment,concentration,,34.0,120.0,33.99,119.84,2022-01-22,2022-02-06,2 days,21.65,particle/m3,2,1
Long,2024,https://doi.org/10.1029/2024jd041546,fiber,concentration,,42.0,115.0,42.13333333333333,114.8,2023-04-19,2023-05-08,20 days,9.448551190235597e-05,particle/m3,20,1
Long,2024,https://doi.org/10.1029/2024jd041546,fragment,concentration,,42.0,115.0,42.13333333333333,114.8,2023-04-19,2023-05-08,20 days,3.6588672006702525e-05,particle/m3,20,1
Martynova,2024,https://doi.org/10.1016/j.scitotenv.2023.167902,fiber,concentration,,22.0,40.0,22.318610999999997,39.102778,2015-09-14,2017-12-09,178 days,0.0007584269662921348,particle/m3,70,1
Morioka,2024,https://doi.org/10.1016/j.chemosphere.2024.141131,sphere,concentration,,36.0,135.0,35.0279425914802,135.781467270959,2022-05-17,2022-05-20,9 days,581.5690573054869,particle/m3,3,1
Nafea,2024,https://doi.org/10.1016/j.envpol.2024.125567,fiber,concentration,,30.0,122.5,29.775,121.725,2023-04-20,2024-12-23,94 days,0.11742776595744682,particle/m3,94,2
Nafea,2024,https://doi.org/10.1016/j.envpol.2024.125567,fragment,concentration,,30.0,122.5,29.775,121.725,2023-04-20,2024-12-23,94 days,0.0278381914893617,particle/m3,94,2
Perera,2022,https://doi.org/10.1021/acs.est.2c05885,fiber,concentration,,6.0,80.0,6.830952380952381,79.92857142857143,2021-08-03,2021-11-26,7 days,0.07571428571428572,particle/m3,7,7
Perera,2022,https://doi.org/10.1021/acs.est.2c05885,fiber,concentration,,8.0,80.0,7.506666666666667,80.25333333333333,2021-08-13,2021-10-22,5 days,0.074,particle/m3,5,4
Prata,2020,https://doi.org/10.1016/j.marpolbul.2020.111522,fiber,concentration,,40.0,-7.5,40.63,-8.651,2019-09-01,2019-09-30,29 days,6.0,particle/m3,1,1
Rao,2024,https://doi.org/10.1016/j.jhazmat.2023.132860,fiber,concentration,,32.0,120.0,32.12,118.96,2020-08-01,2021-08-01,348 days,0.6591522988505747,particle/m3,12,1
Rao,2024,https://doi.org/10.1016/j.jhazmat.2023.132860,fragment,concentration,,32.0,120.0,32.12,118.96,2020-08-01,2021-08-01,348 days,0.6591522988505747,particle/m3,12,1
Romarate,2023,https://doi.org/10.1007/s11356-023-26117-y,fiber,concentration,,14.0,120.0,14.571568627450981,121.01470588235294,2021-12-16,2021-12-31,255 days,0.010888235294117646,particle/m3,17,17
Sharaf,2024,https://doi.org/10.1016/j.scitotenv.2023.168398,fiber,concentration,,34.0,72.5,33.645572,72.990345,2022-12-07,2022-12-23,9 days,0.6187999999999999,particle/m3,9,1
Sharaf,2024,https://doi.org/10.1016/j.scitotenv.2023.168398,fragment,concentration,,34.0,72.5,33.645572,72.990345,2022-12-07,2022-12-23,9 days,0.2865333333333333,particle/m3,9,1
Shruti,2022,https://doi.org/10.1016/j.scitotenv.2022.157601,fiber,concentration,,20.0,-100.0,19.424,-99.13900000000001,2020-01-01,2020-09-30,177 days,0.1605217514124294,particle/m3,6,1
Shruti,2022,https://doi.org/10.1016/j.scitotenv.2022.157601,fragment,concentration,,20.0,-100.0,19.424,-99.13900000000001,2020-01-01,2020-09-30,177 days,0.04267033898305085,particle/m3,6,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,26.0,-70.0,25.95,-70.900002,2016-06-23,2016-06-24,1 days,0.02,particle/m3,1,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,26.0,-67.5,25.8499995,-67.650002,2016-06-22,2016-06-23,1 days,0.07,particle/m3,1,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,26.0,-50.0,26.5,-50.3999995,2016-06-15,2016-06-16,1 days,0.03,particle/m3,1,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,32.0,-37.5,32.2,-38.450001,2016-06-10,2016-06-11,1 days,0.07,particle/m3,1,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,36.0,-30.0,36.3999995,-30.350000500000004,2016-06-07,2016-06-08,1 days,0.06,particle/m3,1,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,40.0,-20.0,39.3500005,-19.75,2016-06-02,2016-06-03,1 days,0.07,particle/m3,1,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,44.0,-12.5,43.8500005,-12.45,2016-05-31,2016-06-01,1 days,0.08,particle/m3,1,1
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,46.0,-7.5,46.0500015,-8.0,2016-05-29,2016-05-30,1 days,0.07,particle/m3,1,1
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fiber,concentration,,-4.0,87.5,-4.19,88.21,2019-03-20,2019-04-25,36 days,0.0063368,particle/m3,1,1
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fiber,concentration,,0.0,87.5,0.19,87.46,2019-03-20,2019-04-25,36 days,0.0142578,particle/m3,1,1
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fiber,concentration,,2.0,87.5,2.73,87.28,2019-03-20,2019-04-25,36 days,0.0095052,particle/m3,1,1
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fiber,concentration,,2.0,107.5,1.85,108.35,2019-03-20,2019-04-25,36 days,0.0063368,particle/m3,1,1
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fiber,concentration,,14.0,112.5,14.33,112.48,2019-03-20,2019-04-25,36 days,0.0182183,particle/m3,1,1
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fiber,concentration,,22.0,112.5,22.39,113.63,2019-03-20,2019-04-25,72 days,0.04237735,particle/m3,2,2
