study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,density,shape_factor,slope,log_intercept,alpha,scale
Liao2021,10.1016/j.jhazmat.2021.126007,27.95,120.7,Aerosol,Outdoor,Lia21_B,Lia21_B_2,Fragments,5.0,5000.0,1e-06,9.4e-08,-1.2553156674801127,3.4061148653021656,-2.2553156674801125,3197.9216157573946
Liu2019,10.1016/j.scitotenv.2019.04.110,31.2,121.4,Aerosol,Outdoor,Liu19_A,Liu19_A_1,Fibers,23.0,5000.0,1e-06,0.0001060287520586555,-0.580446156725035,0.9709453954886113,-1.580446156725035,5.428843665623289
Liu2019,10.1021/acs.est.9b03427,29.0,122.5,Aerosol,Outdoor,Liu19b_A,Liu19b_A_1,Fibers,16.0,3000.0,1e-06,0.0001060287520586555,-0.8151186686474137,0.6335300366190182,-1.8151186686474137,3.5055073053982064
Liu2019,10.1021/acs.est.9b03427,29.0,122.5,Aerosol,Outdoor,Liu19b_B,Liu19b_B_1,Fragments,16.0,600.0,1e-06,9.4e-08,-2.054565491772849,2.603790647426834,-3.054565491772849,825.1076940910314
Maurizi2024,10.1016/j.chemosphere.2024.142553,57.05,9.92,Aerosol,Indoor,Mau24_A,Mau24_A_1,Fragments,1.0,100.0,1e-06,9.4e-08,-1.7410026551866633,3.355956849765679,-2.741002655186663,3951.448110169041
Roblin2020,10.1021/acs.est.0c04000,55.37175,-7.33945,Total deposition,Outdoor,Rob20_A,Rob20_A_4,Fibers,50.0,4000.0,1e-06,0.0001060287520586555,-0.7876267571188589,3.138488964198436,-1.7876267571188589,1083.4513765351523
Syafei2019,10.12944/cwe.14.2.13,-7.276,112.735,Aerosol,Outdoor,Sya19_A,Sya19_A_1,Fibers,250.0,5000.0,1e-06,0.0001060287520586555,-1.038369771075832,4.858952668864671,-2.038369771075832,75042.05272444761
Szewc2021,10.1016/j.scitotenv.2020.143272,54.51,18.54,Total deposition,Outdoor,Scz21_A,Scz21_A_1,Fibers,75.0,5000.0,1e-06,0.0001060287520586555,-1.2800832178610533,4.1189533004147965,-2.280083217861053,16834.16208315108
Szewc2021,10.1016/j.scitotenv.2020.143272,54.51,18.54,Total deposition,Outdoor,Scz21_B,Scz21_B_1,Fragments,5.0,750.0,1e-06,9.4e-08,-0.8949918914215423,1.0457261192663532,-1.8949918914215425,9.943636043893187
Szewc2021,10.1016/j.scitotenv.2020.143272,54.51,18.54,Total deposition,Outdoor,Scz21_C,Scz21_C_1,Films,10.0,1520.0,1e-06,1.2699999999999999e-05,-0.6173878241992966,0.6796374877926353,-1.6173878241992967,2.95253835542005
