study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,lod_min,lod_max,density,shape_factor,slope,log_intercept,alpha,scale
Brahney2020,10.1126/science.aaz5819,40.3,-105.6,Total deposition,Outdoor,Bra20_AC,Bra20_AC_4,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.3333500946715648,5.205315087426762,-2.333350094671565,213923.88817819775
Brahney2020,10.1126/science.aaz5819,34.1,-116.4,Total deposition,Outdoor,Bra20_AC,Bra20_AC_5,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.0426517712749581,3.6743211049804305,-2.042651771274958,4925.614174201048
Brahney2020,10.1126/science.aaz5819,40.8,-109.5,Total deposition,Outdoor,Bra20_AC,Bra20_AC_6,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-0.9935830705508899,3.9091033371732777,-1.99358307055089,8059.48924756967
Brahney2020,10.1126/science.aaz5819,38.46,-109.8,Total deposition,Outdoor,Bra20_AC,Bra20_AC_7,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-0.9257506328296189,3.3762026105573093,-1.9257506328296188,2201.3881692784144
Brahney2020,10.1126/science.aaz5819,40.1,-105.6,Total deposition,Outdoor,Bra20_AC,Bra20_AC_8,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.2499747860906105,4.4931809776539415,-2.2499747860906103,38911.88147141897
Brahney2020,10.1126/science.aaz5819,39.0,-107.0,Total deposition,Outdoor,Bra20_AC,Bra20_AC_9,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.0263844500058392,4.056612551349133,-2.026384450005839,11692.910219385725
Brahney2020,10.1126/science.aaz5819,36.1,-112.2,Total deposition,Outdoor,Bra20_BD,Bra20_BD_1,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.3870800839189463,2.6399967297809166,-2.3870800839189465,605.4778579758065
Brahney2020,10.1126/science.aaz5819,39.0,-114.2,Total deposition,Outdoor,Bra20_BD,Bra20_BD_10,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.394200604813823,2.7761852058743943,-2.3942006048138227,832.7420066712549
Brahney2020,10.1126/science.aaz5819,37.6,-112.2,Total deposition,Outdoor,Bra20_BD,Bra20_BD_11,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.3875293523924188,2.5290702303677373,-2.387529352392419,469.1507441362104
Brahney2020,10.1126/science.aaz5819,42.9,-109.8,Total deposition,Outdoor,Bra20_BD,Bra20_BD_2,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.3893565463328037,2.4217886627954313,-2.3893565463328037,366.9461830059908
Brahney2020,10.1126/science.aaz5819,43.5,-113.5,Total deposition,Outdoor,Bra20_BD,Bra20_BD_3,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.388060248554588,2.732144886828867,-2.388060248554588,749.1231252540231
Brahney2020,10.1126/science.aaz5819,40.3,-105.6,Total deposition,Outdoor,Bra20_BD,Bra20_BD_4,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.3865011584545002,3.0034685525586284,-2.3865011584545,1397.6189783848736
Brahney2020,10.1126/science.aaz5819,34.1,-116.4,Total deposition,Outdoor,Bra20_BD,Bra20_BD_5,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.387195962116062,2.3065629263727048,-2.387195962116062,280.99639119881357
Brahney2020,10.1126/science.aaz5819,40.8,-109.5,Total deposition,Outdoor,Bra20_BD,Bra20_BD_6,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.3921401820758381,2.71017435790137,-2.3921401820758383,714.2616403439117
Brahney2020,10.1126/science.aaz5819,38.46,-109.8,Total deposition,Outdoor,Bra20_BD,Bra20_BD_7,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.3940383943541856,2.3439793877630026,-2.394038394354186,307.7897287871861
Brahney2020,10.1126/science.aaz5819,40.1,-105.6,Total deposition,Outdoor,Bra20_BD,Bra20_BD_8,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.3880103211930195,2.8540904560341747,-2.3880103211930193,991.9348564187471
Brahney2020,10.1126/science.aaz5819,39.0,-107.0,Total deposition,Outdoor,Bra20_BD,Bra20_BD_9,Fragments,5.0,250.0,10.0,100.0,1.14e-06,1.1058000000000001e-07,-1.386172034785885,2.718864635486772,-2.386172034785885,725.5740943851064
