study,doi,lat,lon,particle/m3,ug/m3,size_low,size_high,size_units,shape,setting,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,11.22,111.94,384.4244211660143,0.00019014575976571016,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,9.438501842250444,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,5.54,109.83,791.4620435770884,0.0003914765642235209,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,19.432209675221504,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,1.85,108.35,904.5280498023867,0.00044740178768402396,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,22.208239628824575,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-2.88,107.14,203.518811205537,0.00010066540222890537,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,4.996853916485529,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-6.55,104.38,723.6224398419093,0.00035792143014721914,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,17.76659170305966,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-8.37,98.72,90.45280498023867,4.474017876840239e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,2.2208239628824575,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-9.34,93.0,22.613201245059667,1.1185044692100598e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,0.5552059907206144,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-8.36,89.68,56.53300311264917,2.7962611730251497e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,1.388014976801536,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-4.19,88.21,904.5280498023867,0.00044740178768402396,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,22.208239628824575,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,0.19,87.46,2035.1881120553699,0.0010066540222890537,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,49.96853916485529,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,2.73,87.28,1356.79207470358,0.0006711026815260358,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,33.312359443236865,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,6.09,86.82,11.306600622529833,5.592522346050299e-06,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,0.2776029953603072,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,8.93,86.87,180.90560996047734,8.948035753680479e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,4.441647925764915,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,11.82,86.95,169.5990093379475,8.388783519075448e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,4.164044930404608,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,13.88,87.06,158.29240871541768,7.829531284470418e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,3.8864419350443007,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,4.16,79.66,158.29240871541768,7.829531284470418e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,3.8864419350443007,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2021,https://doi.org/10.1016/j.jhazmat.2021.125477,20.56,113.11,57.33004182458012,2.8356846651599907e-05,0.092,99.5,um,Fibers + Films + Fragments,ocean,size range from section 3.2; count is mean of all samples,2.8,1.4075841064840033,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Yuan2023,https://doi.org/10.1016/j.scitotenv.2023.161839,23.13,113.26,1234.9452055876436,0.0006108342276311224,0.092,99.5,um,Fibers,land,size range from section 3.2,2.8,30.32073915247869,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
