author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.7543,-109.4671,37346.85034460562,particle/m2/d,3.39584514431891e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,1440.0701119008602,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787216
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,38.4584,-109.821,14938.740137842247,particle/m2/d,1.3583380577275638e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,576.0280447603441,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0024894515107872156
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.0547,-105.5891,46061.1154250136,particle/m2/d,4.1882090113266556e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,1776.0864713443943,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0024894515107872156
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,38.9561,-106.986,43571.325402039896,particle/m2/d,3.961819335038729e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,1680.0817972176703,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0024894515107872156
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,39.0054,-114.217,33300.94155727334,particle/m2/d,3.0279619203510276e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,1284.0625164449336,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0024894515107872156
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,37.6186,-112.1728,24897.900229737083,particle/m2/d,2.263896762879273e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,960.0467412672401,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787215
Cai,2017.0,https://doi.org/10.1007/s11356-017-0116-x,deposition,23.05,113.77,125290.74178805405,particle/m2/d,0.00011392338395425957,t/km2/yr,0.0871,100.0,µm,Fibers + Films + Foams + Fragments,land,size range estimated from figure 4; count excludes organic particles e.g. cellulose,2.5,4831.129021109694,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787216
Dris,2016.0,https://doi.org/10.1016/j.marpolbul.2016.01.006,deposition,48.805,2.443,1515857.4274676878,particle/m2/d,0.001378326963866559,t/km2/yr,0.0871,100.0,µm,Fibers,land,size range estimated from figure 3,2.5,58450.470523130665,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787216
Klein,2019.0,https://doi.org/10.1016/j.scitotenv.2019.05.405,deposition,53.518,9.923,1061839.0366537583,particle/m2/d,0.0009655006790123498,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range estimated from section 3.3; count is mean of all samples,2.5,40943.818453904656,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0024894515107872156
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,34.61,119.21,97115.20397470641,particle/m2/d,8.830415170597698e-05,t/km2/yr,0.0871,100.0,µm,Fibers,land,size range estimated from figure 3b,2.5,3744.698719294562,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787216
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,29.97,122.18,169329.07359692402,particle/m2/d,0.0001539662132309342,t/km2/yr,0.0871,100.0,µm,Fibers,land,size range estimated from figure 3b,2.5,6529.218279795647,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787215
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,24.61,118.31,146917.87267968408,particle/m2/d,0.00013358833206801644,t/km2/yr,0.0871,100.0,µm,Fibers,land,size range estimated from figure 3b,2.5,5665.057036881517,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0024894515107872156
